,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
49,,Aluka,"2023-01-04 00:52:30",0,no,no,"A reboot would not surprise me considering the countless reboots for comics",UC2fGY21FThieqzVzEi148BQ,UgwB1q9gWQiSu9duX454AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgwB1q9gWQiSu9duX454AaABAg
50,,"Brandon Lee","2023-01-04 00:55:41",0,no,no,"Def think this was the big plan for sure",UCuIHwErko1t6nDT1gWG4IDA,Ugwio0_yGVHbMsdT2oB4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=Ugwio0_yGVHbMsdT2oB4AaABAg
51,,"Kaitar J'Khara","2023-01-04 00:58:26",0,no,no,"Michael Keaton is still my batman =P",UCi0AfhpuJYGgDcBEEaW_Rbw,UgykGAMJQbT9PwFK-O94AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgykGAMJQbT9PwFK-O94AaABAg
52,,Aluka,"2023-01-04 00:58:55",0,no,no,"Please please please let AOS crossover to the MCU, i really wanna see Daisy with the Avengers",UC2fGY21FThieqzVzEi148BQ,UgwkFoh1VNHnJUraUHt4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgwkFoh1VNHnJUraUHt4AaABAg
53,,DOOM,"2023-01-04 01:24:18",0,no,no,"Let's get Dacre Montgomery as wolverine or a grown Franklin Richards 🤙",UCh3oQq0Th-fhl-K9bOxfeYA,UgxHZmklgpifuh9qsTl4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgxHZmklgpifuh9qsTl4AaABAg
54,,"CHEM TRAIL","2023-01-04 01:38:37",0,no,no,"We have had enough Batman and Superman lets be real about this. Make a movie with ANY other superhero. Take a risk.",UCBFXA3mV9pvyn8CXzaIp5KQ,UgyUArxkm-uiKBOlyUN4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgyUArxkm-uiKBOlyUN4AaABAg
55,,"Noah Lee","2023-01-04 01:47:19",0,no,no,"We need “what if” marvel movies",UCqRFEakEBqyTNcfHMObT6sg,UgxgurThU1fIMIdm8SN4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgxgurThU1fIMIdm8SN4AaABAg
56,,"Paul Rodarte","2023-01-04 02:06:47",0,no,no,"This would solve the main issue of live action characters played by actors who do age and who do eventually want to do other projects.",UCcN8-iS8GyY362tm-ID2Y3w,UgzhlNRduKwPk22MJ3x4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgzhlNRduKwPk22MJ3x4AaABAg
57,,"James Pickles","2023-01-04 02:26:25",0,no,no,"does anybody else think that caleb mclaughlin should play miles morales?",UCmA2leLhOYzJllqOGBNPQuA,Ugz3K2a_E-SVDmEjLMp4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=Ugz3K2a_E-SVDmEjLMp4AaABAg
58,,"Ben Wisecarver","2023-01-04 02:27:20",0,no,no,"If Batman had that satisfying of a death I would want them to not use Batman again",UC37c8JV31jXuuMptRw_dVcw,Ugxlh2Tfdf4L_FPkN_Z4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=Ugxlh2Tfdf4L_FPkN_Z4AaABAg
59,,"fia esteban lara","2023-01-04 02:29:09",0,no,no,"I love newrockstars",UCiBMN2LMulVfzpOilo-iAIg,UgxS981z6AKPmko95O54AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgxS981z6AKPmko95O54AaABAg
60,,"Carlton Phillup Banx","2023-01-04 02:32:00",0,no,no,"Daniel Craig should be Magneto in the MCU.",UCNrDiwAK6itTE7dLjkU0cDg,UgxVOZWGz0Uh7WcLKrZ4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgxVOZWGz0Uh7WcLKrZ4AaABAg
61,,"AMC Studios","2023-01-04 02:37:29",0,no,no,"im expecting a mcu reboot (in a certain way) after secret wars.",UCqiEiTGQQ2_PrM12lKgcM6g,UgzRtWdO0bzUR73tyOl4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgzRtWdO0bzUR73tyOl4AaABAg
62,,"Corey Mitchell","2023-01-04 03:30:19",0,no,no,"When you start replacing characters people like you loose it all.     Look at fast and furious",UCWA_xT5FF4S7X4hMN8hqVsA,UgyVon9x9uiocD-3N1Z4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgyVon9x9uiocD-3N1Z4AaABAg
63,,"Arik Heglund","2023-01-04 03:34:42",0,no,no,"We've had enough Tony Stark. I love him. Don't get me wrong. Greatest super hero of all time. But he is dead. At most we could have a slight Cameo from an alternate reality Tony Stark. But I hope it's JUST a cameo. A nod to one of the greatest heroes of all time. But I think we move on to the next generation of heroes. I think Captain America has the potential for a Marvel Special about him returning the stones and his decision to stay in the past. But other than that I'd say a cameo would be good. Anything more than that those two would be too much. A Captain America special + a cameo in Secret Wars and a Cameo from RDJ in secret Wars. That's it. No more.",UCY3T5euj2iApgnTLdggx5XQ,UgywXWV5XmvNnehfZlh4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgywXWV5XmvNnehfZlh4AaABAg
64,,"OTF MF","2023-01-04 03:38:44",0,no,no,"Too early for miles morales",UCPUhK6YtPhsjro1-__2Inlw,UgwSb4pgLylLYDvC8xZ4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgwSb4pgLylLYDvC8xZ4AaABAg
65,,"Mel Brown","2023-01-04 03:40:50",0,no,no,"They shouldn’t reboot.",UCBYBWzJMS5EdGRIsE1QOJFA,UgwvK4Rn1F3OZYVxt854AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgwvK4Rn1F3OZYVxt854AaABAg
66,,"The Who","2023-01-04 04:01:03",0,no,no,"Daniel Craig should be playing Megneto in MCU. Why make him another.",UCerzSA-ZOGFhnyHpS2GbXUA,UgzTbgADAELFKjAy7-d4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgzTbgADAELFKjAy7-d4AaABAg
67,,"Andrew Ste. Marie","2023-01-04 04:02:09",0,no,no,"I've had enough Batman...",UC65Pwx-1Q-JYxKZvIQM7gGQ,UgzlUpzavqe7RsmTF3x4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgzlUpzavqe7RsmTF3x4AaABAg
68,,EpicMuttonChops,"2023-01-04 04:06:18",0,no,no,"there's no more RDJ tony. knock it off",UC-hczNvOdo0LTOHw3KirNkA,UgwKMWrForxUQH0GXnB4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgwKMWrForxUQH0GXnB4AaABAg
69,,"20. RAHUL JAIN","2023-01-04 04:39:54",0,no,no,"rdj is the best plz never think about recasting him .... tom cruise is great ... but rdj !!!",UCy836xTv2Q0UF5h8KpkngYg,UgybpH8lLo6zFZLdHnJ4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgybpH8lLo6zFZLdHnJ4AaABAg
70,,"Brian Marasigan","2023-01-04 04:54:16",0,no,no,"I think after secret wars. Sa MCU will be rebooted with Mutants and F4 will be the main characters. (Mutant saga) . And the next movies will not be ""avengers"" but will be X-Men Movies.",UCVcTiX-PoE3zhvXRyST7bTQ,UgxEt8geiMyjRbVY1CV4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgxEt8geiMyjRbVY1CV4AaABAg
71,,"Leon Rogers","2023-01-04 04:54:46",0,no,no,"Voss has a bigger following than all of NR 😂",UCTH000CKD0JCSAfP8XgbfSg,UgwQR97YhhUJ7Jnby3h4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgwQR97YhhUJ7Jnby3h4AaABAg
72,,"Michael Lamanna","2023-01-04 04:54:51",0,no,no,"Where’s Bucky next",UCOt2qgxrffPlLZw7d9SuVQw,Ugx8fSswDBBHu4ARZWV4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=Ugx8fSswDBBHu4ARZWV4AaABAg
73,,"Erika Gholston","2023-01-04 05:02:59",0,no,no,"🙏🏽🙏🏽🙏🏽 for Jeremy Renner. I’m ok with a reboot of the MCU as long as the story is good.",UCm6CVoxS1vv82MA0RhblcnQ,Ugx4k6cxBXgDUuqyU354AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=Ugx4k6cxBXgDUuqyU354AaABAg
74,,VeͥneͣdͫᎥx,"2023-01-04 05:03:10",0,no,no,"Shocked to see Daniel Craig reaction in that interview. I would liek to see him on MCU, but maybe in the villain side.",UCyk1GzyA64JStLtsAuIDcNg,UgxqGKaNi1VixXTGCC94AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgxqGKaNi1VixXTGCC94AaABAg
75,,"Lil Timeeh","2023-01-04 05:06:54",0,no,no,"It’s 2023.. imagine what an iron movie could be like today",UCwsO9QlhOG-EvO5EmBvXWYA,Ugz6fhM_u-2BG7Qf9ih4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=Ugz6fhM_u-2BG7Qf9ih4AaABAg
76,,"Chef TeKniQ aka Bulette Born","2023-01-04 05:45:42",1,no,no,"if they do secrete  wars without doom im going to be pissed",UC-1IpC4Gm6J3FS3-yBdoyEw,UgwAR7_AzeGPcpOyt-94AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgwAR7_AzeGPcpOyt-94AaABAg
77,,tomhorn1876,"2023-01-04 05:49:14",0,no,no,"Maria Hill has been a Skrull all along...",UC2sLDsSZF4kyTUWIr4Q9OZg,UgyV-7IKaX0fOhGmXDh4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgyV-7IKaX0fOhGmXDh4AaABAg
78,,niceu,"2023-01-04 06:38:09",0,no,no,"I just want to see another Pietro and this time not get wasted.",UCOKvBUpes9LUdywOeV6qr0w,UgzgKCseBHx5tNUm8Xl4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgzgKCseBHx5tNUm8Xl4AaABAg
79,,"Epron Wilde","2023-01-04 06:42:34",0,no,no,"what if avengers 6 is the start of a trilogy, the next 6 years after avengers 6 of the mcu movies are all set in the battleworld",UCUCzKoO4B1blYjGcSVO4NNQ,UgxLD-xRJd8lVwZ51814AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgxLD-xRJd8lVwZ51814AaABAg
80,,"King Kong","2023-01-04 07:00:01",1,no,no,"Damn right, “we haven’t had enough Batman”! 👏🏽",UC5BkdJhxEQRSTh4G-B9H-Dg,Ugz6yceAUsRuT7JBXJB4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=Ugz6yceAUsRuT7JBXJB4AaABAg
81,,"KENEXTRA PLZ","2023-01-04 07:31:53",0,no,no,"Where does Wanda play into this?",UCKVBcV4KHVfOAUJaKrZAe0w,UgyaONYtZ5P8m6SwlNl4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgyaONYtZ5P8m6SwlNl4AaABAg
82,,"Natty and Daddy Show","2023-01-04 07:50:47",0,no,no,"Mantis is clearly in the box BEHIND Prof X. Lol",UCU9FeG1kLDy27oeQrbFwCMw,UgwXYfFMhOO2zduWsgd4AaABAg,https://www.youtube.com/watch?v=vkHd84xNbwo&lc=UgwXYfFMhOO2zduWsgd4AaABAg
