,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
39,,"Clare Mayne","2023-01-04 05:12:38",0,no,no,"Next thing is they will nominate Trump for speaker!",UC3mBg2XL95xOcwzOJP4mgWw,UgwnWfeiLrJ_kj-1KMN4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgwnWfeiLrJ_kj-1KMN4AaABAg
40,,"Todd Fennimore","2023-01-04 05:20:05",0,no,no,"Hakeem Jeffries will peel off 6 moderate Republicans, add those votes to the 212 that he already has in his pocket, and we’ll have a Democratic Speaker of the House! It will be wild, to quote Trump. Maybe McCarthy will even be one of those renegade Republicans.",UC9Mof2UJCigxDARUAOIICKw,Ugy-JXLGgQwoIJcm8_B4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=Ugy-JXLGgQwoIJcm8_B4AaABAg
41,,"William DeLong","2023-01-04 05:21:00",1,no,no,"GOP= pay to play grifters",UC3viK-w_PgemO1ha_OfFyhA,UgxPjfduYrc6cvvVUDp4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgxPjfduYrc6cvvVUDp4AaABAg
42,,"Mike Rowley","2023-01-04 05:31:38",0,no,no,"Who cares if he has Trumps bossing!  Trump is so desperate to be popular and viable …….he loves his image as the all powerful  “ GREAT ONE” … Kevin McCarty ares only for power at any cost….the 20 who oppose him are Trump “groupies” who just want to tear up Congress and start over with a new government in their own warped image.   Meanwhile, whose running the government? Isn’t hat we elected them for?",UC-HM1IAUllfvuG6OQ1_O9qA,UgxnLmfI273t65ttbo14AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgxnLmfI273t65ttbo14AaABAg
43,,Rutiger,"2023-01-04 05:38:56",3,no,no,"The stupid party has outdone SNL by making themselves a bigger joke than the SNL crew could ever dream of doing. And director IQ45 has contributed hilariously with attacks on everybody.we love it!",UCAA5cXJYu8CgUUjauEtI1oQ,Ugw4q1IyWIS1Fmr1Co14AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=Ugw4q1IyWIS1Fmr1Co14AaABAg
44,,"C Snide","2023-01-04 05:46:37",0,no,no,"If that LOSER Trump had his way - PUTIN would be the Speaker of the House.",UCORWFjGp_ErL2hMn1EJEmcQ,UgwVeiPwH4x4BzFHfDZ4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgwVeiPwH4x4BzFHfDZ4AaABAg
45,,"Jacko Alltrades","2023-01-04 06:06:22",0,no,no,"trump wants the job and some clown just might  nominate him",UCxiXO-vPZ_9-Ys4n3g1Vy6w,UgyamwyKfATr6Ju1BlN4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgyamwyKfATr6Ju1BlN4AaABAg
46,,"Jacko Alltrades","2023-01-04 06:08:36",0,no,no,"chaos and dis-functionality
that is the GOP in 2 words",UCxiXO-vPZ_9-Ys4n3g1Vy6w,UgzdS74ukgyugSscPvB4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgzdS74ukgyugSscPvB4AaABAg
47,,"Matty T","2023-01-04 06:16:24",0,no,no,"Wtf was that at the 1 min mark (give & take 5 seconds). Rarely am I utterly repulsed, but that giggle n crack snort made me stop the video, write this comment, and now move on hoping never to come across this guy's face again.",UCfk_AU80EQu63BQpsljzsRQ,UgwsJ6vcqnpt8UveNx54AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgwsJ6vcqnpt8UveNx54AaABAg
48,,"Ernest Chacon","2023-01-04 06:26:24",0,no,no,"The GOP are just a bunch of backstabbing SOB's..., 😆😂🤣😅 !!!",UCs5GVOYKSpMetSGW6KUng3Q,Ugxi3p0SlNx-H88aRSR4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=Ugxi3p0SlNx-H88aRSR4AaABAg
