,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
44,,"Albert Huat","2022-12-19 10:01:46",2,no,no,"semoga dinaikkan paras air sehingga 2 meter supaya semua mahkluk perosak di Malaysia dapat dihapuskan sekaligus..aminnnn",UCcgAuFNA9G4lZvS7nX1M1Nw,Ugy1PNwMg0_T3fS7hRB4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=Ugy1PNwMg0_T3fS7hRB4AaABAg
45,,"MIND the GAP","2022-12-19 10:27:02",0,no,no,"Kerajaan Pas 🤣",UCI_fNNmKWV5tEStGEOdGCFQ,Ugy2TpZ5kAYVfM59N5J4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=Ugy2TpZ5kAYVfM59N5J4AaABAg
46,,"M. AiraLee","2022-12-19 10:45:26",0,no,no,"Banjir itu musibah. Tak boleh nak salahkan siapa. Tapi kalau boleh. Elakkan. Jangan menuding jari kepada sesiapa. Anda hanya berkata-kata tapi mereka yang mengalaminya tidak sempat untuk berfikir kerana separuh daripada nyawa mereka sudah tiada. Jangan salahkan satu pihak. Kalau yg atas tak bergerak mcm mne yg bawah nk buat kerje.",UC3EPnbFdzmxGEJzOUGf0x0w,Ugz5yjZKRbnbbdD16yh4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=Ugz5yjZKRbnbbdD16yh4AaABAg
47,,"Auni filzah Abdul Rahim","2022-12-19 11:24:57",0,no,no,Berubat..,UC-ZC9dbHLm2wJygTktoJy9g,UgzAJA8vQj24kCbmTAV4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgzAJA8vQj24kCbmTAV4AaABAg
48,,"Auni filzah Abdul Rahim","2022-12-19 11:25:06",0,no,no,"Bawah ganu",UC-ZC9dbHLm2wJygTktoJy9g,UgwMf4-3NBXtrjfMFMV4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgwMf4-3NBXtrjfMFMV4AaABAg
49,,"Limi Limi","2022-12-19 11:34:07",3,no,no,"Knp ye bile musibah di luar dikaitkan dgn bala sbb maksiat, di tmpt sendiri panggil ujian walaupun ade jgk maksiatnye.",UCUYQtiYCRx0E5VDnXxc9YWw,UgzuYUeWfwn0DnV6IFd4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgzuYUeWfwn0DnV6IFd4AaABAg
50,,"Calvin Kong","2022-12-19 12:24:18",1,no,no,"Sungguh membimbangkan situasi sebegini",UCbPEIOwI5zmZjL-73qNlPkA,Ugz0gp2050Wk-NCPlol4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=Ugz0gp2050Wk-NCPlol4AaABAg
51,,"Zaharah binti Harun Zaharah","2022-12-19 12:25:17",0,no,no,"Marilah kita bersedekah, tolong menolong, berbuat baik kepada mangsa banjir dan orang miskin. Marilah, solatlah membaca, memahami AL-QURAN sebelum berkerja, berniaga DLL. Ingatlah akhirat, kematian, TQ Allah",UC9slhPW3FReDrEHTRW57NTA,Ugx3iOY8QRTfE2NMAcJ4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=Ugx3iOY8QRTfE2NMAcJ4AaABAg
52,,"iam will","2022-12-19 13:46:47",2,no,no,"Mane puak yg kate bela nasib rakyat? Mane badut yg kate banjir biasa je? Mane exco2 kerajaan negeri? Sibuk pilih mercedes dan vellfire baru?",UCWCp9i2_2rFN0g-f4DZMHsg,UgzihFdoz-9PwUo7Bid4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgzihFdoz-9PwUo7Bid4AaABAg
53,,But2Star,"2022-12-19 13:59:40",5,no,no,"Ini dua negeri yg paling memfitnah kerajaan yg jujur .... akibatkan banjil besar besaran di sekeliling kawasan mereka.",UCcirGvO5IfJAlXc8mhiPPMw,UgzURqBvczHEZbok8jx4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgzURqBvczHEZbok8jx4AaABAg
